"","Organism.Name","median_length"
"259","Sarotherodon_steinbachi",725750946
"260","Serranochromis_macrocephalus",720263168
"261","Shuja_horei",689507482.5
"262","Simochromis_diagramma",777717005
"263","Spathodus_erythrodon",694160924
"264","Spathodus_marlieri",698921072
"265","Steatocranus_sp._'ultraslender'_AB-2019",712550673
"266","Stomatepia_pindu",726966403
"267","Symphysodon_aequifasciata",884462546
"268","Tangachromis_dhanisi",690797663.5
"269","Tanganicodus_irsacae",703015738
"270","Telmatochromis_bifrenatus",693715343.5
"271","Telmatochromis_brachygnathus",674014680.5
"272","Telmatochromis_brichardi",686859311
"273","Telmatochromis_dhonti",678833857
"274","Telmatochromis_sp._'dhonti_north'_AB-2019",686553039.5
"275","Telmatochromis_sp._'dhonti_twiyu'_AB-2019",710917218
"276","Telmatochromis_sp._'longola'_AB-2019",700131576.5
"277","Telmatochromis_sp._'lufubu'_AB-2019",700980058
"278","Telmatochromis_sp._'shell'_AB-2019",679864518.5
"279","Telmatochromis_temporalis",667498676
"280","Telmatochromis_vittatus",683990468.5
"281","Thoracochromis_brauschi",709113638
"282","Tilapia_brevimanus",746799404
"283","Tilapia_sparmanii",729330520
"284","Trematocara_caparti",553073352
"285","Trematocara_macrostoma",689672865
"286","Trematocara_marginatum",657598950
"287","Trematocara_nigrifrons",670098372
"288","Trematocara_stigmaticum",667658012.5
"289","Trematocara_unimaculatum",699666906
"290","Trematocara_variabile",597795682
"291","Trematocara_zebra",656478912
"292","Trematochromis_benthicola",701342255.5
"293","Triglachromis_otostigma",689743446.5
"294","Tropheops_sp._'mauve'",651432558
"295","Tropheus_annectens",699904399.5
"296","Tropheus_brichardi",690718022
"297","Tropheus_duboisi",686878064
"298","Tropheus_moorii",671742922
"299","Tropheus_polli",709380989.5
"300","Tropheus_sp._'Kirschfleck'",691035825
"301","Tropheus_sp._'black'",712498882
"302","Tropheus_sp._'brichardi_kipili'_AB-2019",690062750.5
"303","Tropheus_sp._'lukuga'_AB-2019",700491657.5
"304","Tropheus_sp._'lunatus'_AB-2019",682842458.5
"305","Tropheus_sp._'mpimbwe'_AB-2019",686041017
"306","Tropheus_sp._'murago'_AB-2019",688210866.5
"307","Tropheus_sp._'red'_AB-2019",681123875.5
"308","Tylochromis_polylepis",741701036
"309","Variabilichromis_moorii",706794912
"310","Xenochromis_hecqui",701128979.5
"311","Xenotilapia_bathyphilus",684968382
"312","Xenotilapia_boulengeri",684737325.5
"313","Xenotilapia_caudafasciata",676549301.5
"314","Xenotilapia_flavipinnis",712315291.5
"315","Xenotilapia_leptura",714059283
"316","Xenotilapia_longispinis",709341367
"317","Xenotilapia_melanogenys",702526694.5
"318","Xenotilapia_nasus",688020170
"319","Xenotilapia_nigrolabiata",697720500.5
"320","Xenotilapia_ochrogenys",699556914.5
"321","Xenotilapia_ornatipinnis",691306913
"322","Xenotilapia_papilio",700596226
"323","Xenotilapia_rotundiventralis",688690180.5
"324","Xenotilapia_sima",693863003.5
"325","Xenotilapia_singularis",672255910
"326","Xenotilapia_sp._'kilesa'_AB-2019",686449091.5
"327","Xenotilapia_sp._'papilio_sunflower'",677845669
"328","Xenotilapia_sp._'spilopterus_north'_AB-2019",687447420
"329","Xenotilapia_spiloptera",695989167
"330","Xenotilapia_tenuidentata",710340847.5
